Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA0063	39933143	69377	70015	639	+	cmk	cytidylate kinase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_03703	-	cytidylate kinase	6E-71	55%	essential	1	b0910	cmk	cytidylate kinase	1E-46	42%	Nonessential
RPA0064	39933144	70316	72013	1698	+	rpsA	30S ribosomal protein S1	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_03702	-	SSU ribosomal protein S1P	0E+00	68%	essential	1	b0911	rpsA	30S ribosomal subunit protein S1	0E+00	47%	essential
RPA0068	39933148	74185	74826	642	+	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	[E] Amino acid transport and metabolism	Metabolism	Tryptophan biosynthesis	1	CCNA_03659	-	N-(5'-phosphoribosyl)anthranilate isomerase	1E-55	43%	Nonessential	1	b1262	trpC	fused indole-3-glycerolphosphate	6E-20	32%	Nonessential
RPA0069	39933149	74840	76054	1215	+	trpB	tryptophan synthase subunit beta	[E] Amino acid transport and metabolism	Metabolism	Tryptophan biosynthesis	1	CCNA_03658	-	tryptophan synthase beta chain	0E+00	73%	Nonessential	1	b1261	trpB	"tryptophan synthase, beta subunit"	5E-148	50%	Nonessential
RPA0070	39933150	76054	76890	837	+	trpA	tryptophan synthase subunit alpha	[E] Amino acid transport and metabolism	Metabolism	Tryptophan biosynthesis	1	CCNA_03657	-	tryptophan synthase alpha chain	2E-85	51%	Nonessential	1	b1260	trpA	"tryptophan synthase, alpha subunit"	2E-45	29%	Nonessential
RPA0071	39933151	77000	77983	984	+	accD	acetyl-CoA carboxylase subunit beta	[I] Lipid transport and metabolism	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_03656	-	acetyl-coenzyme A carboxylase carboxy	6E-113	50%	essential	1	b2316	accD	"acetyl-CoA carboxylase, beta"	4E-93	41%	essential
RPA0072	39933152	77980	79308	1329	+	folC	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	[H] Coenzyme transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_03655	-	folylpolyglutamate synthase/dihydrofolat	5E-114	49%	essential	1	b2315	folC	bifunctional folylpolyglutamate synthase	5E-49	31%	essential
RPA0073	39933153	79484	79804	321	-	trxA	thioredoxin	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Redox balance	3	CCNA_03653	-	thioredoxin	2E-43	51%	High_Fitness_Costs	4	b3781	trxA	thioredoxin 1	3E-41	49%	Nonessential
RPA0078	39933158	87900	89420	1521	-	-	"possible aminoglycoside phosphotransferase (KanR), ATPase activity"	[R] General function prediction only	Hypothetical proteins	Hypothetical proteins	1	CCNA_03649	-	Ser/Thr kinase-related phosphotransferase	1E-64	28%	Nonessential	0	no E. coli homolog found					
RPA0082	39933162	94104	95681	1578	-	ubiB	2-polyprenylphenol 6-hydroxylase	[R] General function prediction only	Metabolism	Electron transport chain	1	CCNA_03824	ubiB	2-polyprenylphenol 6-hydroxylase accessor	2E-131	39%	Nonessential	1	b3835	ubiB	2-octaprenylphenol hydroxylase	4E-88	29%	essential
RPA0083	39933163	95678	96439	762	-	ubiE	ubiquinone/menaquinone biosynthesis methyltransferase	[H] Coenzyme transport and metabolism	Metabolism	Electron transport chain	1	CCNA_03823	ubiE	ubiquinone/menaquinone biosynthesi	9E-76	47%	essential	1	b3833	ubiE	bifunctional	4E-79	46%	Nonessential
RPA0086	39933166	99139	99939	801	+	moeB	molybdenum cofactor biosynthesis protein	[H] Coenzyme transport and metabolism	Metabolism	Molybdenum cofactor biosynthesis	1	CCNA_03842	moeB	molybdopterin biosynthesis protein MoeB	1E-78	53%	essential	2	b0826	moeB	molybdopterin synthase sulfurylase	1E-59	39%	Nonessential
RPA0118	39933195	133329	133886	558	+	rmlC	"dTDP-6-deoxy-D-glucose-3,5-epimerase"	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	dTDP-rhamnose pathway	1	CCNA_03748	-	"dTDP-4-dehydrorhamnose 3,5-epimerase"	8E-58	44%	Nonessential	1	b2038	rfbC	"dTDP-4-deoxyrhamnose-3,5-epimerase"	7E-54	46%	Nonessential
RPA0140	39933217	160198	160686	489	-	cheW1-3	chemotaxis signal transduction/oligomerization protein CheW1-2	"[T] Signal transduction mechanisms, [N] Cell motility"	Sensing and signalling	Chemotaxis	4	CCNA_00803	-	chemotaxis protein cheW	1E-18	26%	Nonessential	1	b1887	cheW	purine-binding chemotaxis protein	2E-21	25%	Nonessential
RPA0159	39933236	177918	178190	273	+	rpmA	50S ribosomal protein L27	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00320	-	LSU ribosomal protein L27P	2E-39	66%	essential	1	b3185	rpmA	50S ribosomal subunit protein L27	6E-37	59%	essential
RPA0162	39933239	180688	181749	1062	+	obgE	GTPase ObgE	[R] General function prediction only	"DNA replication, recomb & repair"	DNA replication	1	CCNA_00317	cgtA	GTP-binding protein CgtA	2E-142	62%	essential	1	b3183	obgE	GTPase involved in chromosome partioning and ribosome assembly	6E-100	49%	essential
RPA0163	39933240	181888	183018	1131	+	proB	gamma-glutamyl kinase	[E] Amino acid transport and metabolism	Metabolism	Proline biosynthesis	1	CCNA_00316	-	glutamate 5-kinase	1E-113	55%	Nonessential	1	b0242	proB	gamma-glutamate kinase	2E-85	41%	Nonessential
RPA0164	39933241	183222	184514	1293	+	proA	gamma-glutamyl phosphate reductase	[E] Amino acid transport and metabolism	Metabolism	Proline biosynthesis	1	CCNA_03543	-	gamma-glutamyl phosphate reductase	4E-172	59%	Nonessential	1	b0243	proA	gamma-glutamylphosphate reductase	2E-107	39%	Nonessential
RPA0165	39933242	184539	185168	630	+	nadD	nicotinic acid mononucleotide adenylyltransferase	[H] Coenzyme transport and metabolism	Metabolism	NAD/NADP	1	CCNA_03544	-	nicotinate-nucleotide adenylyltransferase	6E-64	46%	essential	0	no E. coli homolog found					
RPA0168	39933245	186427	187818	1392	+	-	peptidase M23B	"[D] Cell cycle control, cell division, chromosome partitioning"	Proteases/Peptidases	Cleaves peptidoglycan	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0169	39933246	187815	189191	1377	+	ctpA	carboxyl-terminal protease	[M] Cell wall/membrane/envelope biogenesis	Proteases/Peptidases	Maturation of cell envelope proteins	1	CCNA_03548	-	carboxy-terminal processing protease precursor	5E-133	46%	High_Fitness_Costs	1	b1830	prc	carboxy-terminal protease for penicillin-binding protein 3	9E-38	22%	Nonessential
RPA0176	39933253	194774	196204	1431	-	atpD	ATP synthase F0F1 subunit beta	[C] Energy production and conversion	Metabolism	ATP synthesis	3	CCNA_03560	atpD	ATP synthase beta chain	0E+00	74%	essential	2	b3732	atpD	"F1 sector of membrane-bound ATP synthase, beta"	0E+00	68%	Nonessential
RPA0177	39933254	196276	197151	876	-	atpG	ATP synthase F0F1 subunit gamma	[C] Energy production and conversion	Metabolism	ATP synthesis	1	CCNA_03561	-	ATP synthase gamma chain	5E-119	59%	essential	1	b3733	atpG	"F1 sector of membrane-bound ATP synthase, gamma"	1E-48	38%	Nonessential
RPA0178	39933255	197295	198827	1533	-	atpA	ATP synthase F0F1 subunit alpha	[C] Energy production and conversion	Metabolism	ATP synthesis	2	CCNA_03562	atpA	ATP synthase alpha chain	0E+00	77%	essential	3	b3734	atpA	"F1 sector of membrane-bound ATP synthase, alpha"	0E+00	55%	Nonessential
RPA0179	39933256	198827	199387	561	-	atpH	ATP synthase F0F1 subunit delta	[C] Energy production and conversion	Metabolism	ATP synthesis	1	CCNA_03563	-	ATP synthase delta chain	2E-43	41%	essential	0	no E. coli homolog found					
RPA0185	39933262	205473	206876	1404	-	dldH	dihydrolipoamide dehydrogenase	[C] Energy production and conversion	Metabolism	Central metabolism	3	CCNA_00346	-	dihydrolipoamide dehydrogenase	0E+00	64%	essential	4	b0116	lpd	lipoamide dehydrogenase	9E-115	40%	Nonessential
RPA0188	39933265	208123	209376	1254	-	sucB	dihydrolipoamide succinyltransferase	[C] Energy production and conversion	Metabolism	TCA cycle	2	CCNA_00343	odhB	dihydrolipoamide succinyltransferase	2E-177	66%	essential	1	b0727	sucB	dihydrolipoyltranssuccinase	1E-138	48%	Nonessential
RPA0189	39933266	209481	212438	2958	-	sucA	2-oxoglutarate dehydrogenase E1 component	[C] Energy production and conversion	Metabolism	TCA cycle	1	CCNA_00342	odhA	2-oxoglutarate dehydrogenase E1 component	0E+00	64%	essential	1	b0726	sucA	"2-oxoglutarate decarboxylase, thiamin-requiring"	0E+00	45%	Nonessential
RPA0192	39933269	214807	215775	969	-	mdh	malate dehydrogenase	[C] Energy production and conversion	Metabolism	TCA cycle	1	CCNA_03770	-	malate dehydrogenase	1E-163	70%	essential	1	b3236	mdh	"malate dehydrogenase, NAD(P)-binding"	4E-25	31%	Nonessential
RPA0198	39933275	222285	223076	792	+	-	acetate transporter	[R] General function prediction only	Transport	Transport	1	CCNA_03778	-	integral membrane protein	4E-63	44%	Nonessential	1	b0786	ybhL	"inner membrane protein, UPF0005 family"	8E-55	40%	Nonessential
RPA0202	39933279	225515	228232	2718	-	acnA	aconitate hydratase	[C] Energy production and conversion	Metabolism	TCA cycle	1	CCNA_03781	acnA	aconitate hydratase	0E+00	68%	essential	1	b1276	acnA	aconitate hydratase 1	0E+00	60%	Nonessential
RPA0203	39933280	228448	229050	603	+	cycV	cytochrome c biogenesis protein CcmA	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	44	CCNA_03782	ccmA	cytochrome c biogenesis ATP-binding expor	2E-42	45%	Nonessential	74	b2201	ccmA	heme exporter subunit	5E-38	38%	Nonessential
RPA0204	39933281	229047	229715	669	+	cycW	heme exporter protein CcmB	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	1	CCNA_03783	ccmB	cytochrome c biogenesis ABC transporter permeas	4E-27	44%	Nonessential	1	b2200	ccmB	heme exporter subunit	5E-38	42%	Nonessential
RPA0205	39933282	229808	230542	735	+	cycZ	heme exporter protein CcmC	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	1	CCNA_03786	-	heme chaperone heme-lyase	1E-80	50%	Nonessential	1	b2199	ccmC	heme exporter subunit	4E-72	48%	Nonessential
RPA0206	39933283	230732	231328	597	+	cycY	periplasmic protein thiol-disulfide oxidoreductase DsbE	"[C] Energy production and conversion, [O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	2	CCNA_03788	-	thiol:disulfide interchange protein tlpA	6E-42	38%	Nonessential	1	b2195	dsbE	periplasmic thioredoxin of cytochrome c-type	9E-30	30%	Nonessential
RPA0209	39933286	232613	233560	948	-	ftsY	signal recognition particle-docking protein FtsY	"[U] Intracellular trafficking, secretion, and vesicular transport"	Protein translocation	SRP system	2	CCNA_03793	ftsY	cell division protein FtsY	7E-111	51%	essential	2	b3464	ftsY	Signal Recognition Particle (SRP) receptor	2E-94	47%	essential
RPA0216	39933293	241162	241944	783	-	sdhB	succinate dehydrogenase iron-sulfur subunit	[C] Energy production and conversion	Metabolism	TCA cycle	1	CCNA_03641	-	succinate dehydrogenase iron-sulfur protein	1E-143	70%	essential	2	b0724	sdhB	"succinate dehydrogenase, FeS subunit"	4E-86	47%	Nonessential
RPA0217	39933294	242052	243875	1824	-	sdhA	succinate dehydrogenase flavoprotein subunit	[C] Energy production and conversion	Metabolism	TCA cycle	2	CCNA_03642	-	succinate dehydrogenase flavoprotein subunit	0E+00	75%	essential	3	b0723	sdhA	"succinate dehydrogenase, flavoprotein subunit"	0E+00	51%	Nonessential
RPA0218	39933295	243879	244292	414	-	sdhD	succinate dehydrogenase cytochrome b subunit	[C] Energy production and conversion	Metabolism	TCA cycle	1	CCNA_03643	-	succinate dehydrogenase membrane anchor subunit	5E-16	25%	essential	0	no E. coli homolog found					
RPA0219	39933296	244289	244687	399	-	sdhC	succinate dehydrogenase cytochrome b subunit	[C] Energy production and conversion	Metabolism	TCA cycle	2	CCNA_03644	sdhC	succinate dehydrogenase cytochrome B-55	5E-25	37%	essential	1	b0721	sdhC	"succinate dehydrogenase, membrane subunit"	7E-18	21%	Nonessential
RPA0230	39933307	255445	256479	1035	+	asdB	aspartate-semialdehyde dehydrogenase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_00253	-	aspartate-semialdehyde dehydrogenase	0E+00	70%	Nonessential	2	b2319	usg	predicted semialdehyde dehydrogenase	1E-67	33%	Nonessential
RPA0241	39933318	266732	267121	390	-	rplS	50S ribosomal protein L19	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00197	rplS	LSU ribosomal protein L19P	1E-58	63%	essential	1	b2606	rplS	50S ribosomal subunit protein L19	5E-42	51%	essential
RPA0242	39933319	267235	267981	747	-	trmD	tRNA (guanine-N(1)-)-methyltransferase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	1	CCNA_00198	trmD	tRNA (guanine-N1) -methyltransferase	9E-98	58%	High_Fitness_Costs	1	b2607	trmD	"tRNA m(1)G37 methyltransferase, SAM-dependent"	4E-67	44%	essential
RPA0245	39933322	269157	270707	1551	-	ffh/ftsY	signal recognition particle protein	"[U] Intracellular trafficking, secretion, and vesicular transport"	Protein translocation	SRP system	1	CCNA_03768	srp	"signal recognition particle GTPase, SRP"	0E+00	55%	essential	1	b2610	ffh	Signal Recognition Particle (SRP) component with	4E-157	44%	essential
RPA0250	39933327	274381	275262	882	+	dapF	diaminopimelate epimerase	[E] Amino acid transport and metabolism	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_03800	-	diaminopimelate epimerase	4E-90	46%	essential	1	b3809	dapF	diaminopimelate epimerase	3E-54	35%	Nonessential
RPA0252	39933329	276543	277205	663	-	-	possible ribosomal protein L11 methyltransferase	[R] General function prediction only	Hypothetical proteins	Hypothetical proteins	2	CCNA_03536	-	ribosomal protein L11 methyltransferase	5E-86	59%	Nonessential	0	no E. coli homolog found					
RPA0255	39933332	278831	280000	1170	-	gcp	possible O-sialoglycoprotein endopeptidase	"[O] Posttranslational modification, protein turnover, chaperones"	Proteases/Peptidases	Glycoproteases	1	CCNA_00069	-	O-sialoglycoprotein endopeptidase	1E-124	49%	essential	1	b3064	tsaD	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine	4E-87	38%	essential
RPA0256	39933333	280147	280893	747	+	-	uroporphyrinogen III synthase HEM4	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_00071	-	uroporphyrinogen-III synthase	3E-10	31%	essential	1	b3804	hemD	uroporphyrinogen III synthase	2E-07	24%	essential
RPA0279	39933356	306300	308768	2469	+	-	DNA translocase FtsK	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	1	CCNA_03819	ftsK	cell division protein FtsK	0E+00	52%	essential	0	no E. coli homolog found					
RPA0283	39933360	311368	312054	687	-	-	two-component transcriptional regulator	"[K] Transcription, [T] Signal transduction mechanisms"	Sensing and signalling	Two-component systems	15	CCNA_03859	cenR	two-component response regulator cenR	4E-107	62%	essential	15	b3405	ompR	DNA-binding response regulator in two-component system	9E-37	35%	Nonessential
RPA0287	39933364	315572	318202	2631	+	leuS	leucyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	2	CCNA_03865	-	leucyl-tRNA synthetase	0E+00	57%	essential	2	b0642	leuS	leucyl-tRNA synthetase	0E+00	45%	essential
RPA0288	39933365	318189	318752	564	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03866	-	LptE superfamily protein	1E-04	22%	essential	0	no E. coli homolog found					
RPA0289	39933366	318809	319840	1032	+	holA	DNA polymerase III subunit delta	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	DNA replication	1	CCNA_03867	-	"DNA polymerase III, delta subunit"	2E-29	31%	essential	0	no E. coli homolog found					
RPA0291	39933368	320345	321235	891	-	parB1	chromosome partitioning protein parB	[K] Transcription	"DNA replication, recomb & repair"	Chromosome segregation	1	CCNA_03868	parB	chromosome partitioning protein ParB	1E-89	52%	essential	0	no E. coli homolog found					
RPA0292	39933369	321408	322262	855	-	parA	chromosome partitioning protein parA	"[D] Cell cycle control, cell division, chromosome partitioning"	"DNA replication, recomb & repair"	Chromosome segregation	1	CCNA_03869	parA	chromosome partitioning protein ParA	1E-128	62%	essential	1	b1175	minD	membrane ATPase of the MinC-MinD-MinE system	2E-13	23%	essential
RPA0296	39933373	326580	327845	1266	-	rho	transcription termination factor Rho	[K] Transcription	Transcription	Transcription termination	1	CCNA_03876	rho	transcription termination factor rho	0E+00	77%	essential	1	b3783	rho	transcription termination factor	0E+00	68%	Nonessential
RPA0297	39933374	328106	328558	453	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03877	-	conserved hypothetical membrane spannin	4E-37	44%	essential	0	no E. coli homolog found					
RPA0300	39933377	330542	331141	600	+	coaE	dephospho-CoA kinase	[H] Coenzyme transport and metabolism	Metabolism	Coenzyme A biosynthesis	2	CCNA_00004	-	dephospho-CoA kinase	1E-82	58%	essential	1	b0103	coaE	dephospho-CoA kinase	5E-25	30%	Nonessential
RPA0309	39933386	338703	339296	594	+	hisB	imidazoleglycerol-phosphate dehydratase	[E] Amino acid transport and metabolism	Metabolism	Histidine biosynthesis	1	CCNA_03850	-	imidazoleglycerol-phosphate dehydratase	1E-89	59%	Nonessential	1	b2022	hisB	fused	2E-58	46%	Nonessential
RPA0311	39933388	339842	340492	651	+	hisH	imidazole glycerol phosphate synthase subunit HisH	[E] Amino acid transport and metabolism	Metabolism	Histidine biosynthesis	1	CCNA_03851	-	"imidazole glycerol phosphate synthase, glutamin"	4E-77	54%	Nonessential	1	b2023	hisH	"imidazole glycerol phosphate synthase, glutamine"	3E-37	36%	Nonessential
RPA0312	39933389	340489	341226	738	+	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	[E] Amino acid transport and metabolism	Metabolism	Histidine biosynthesis	1	CCNA_03852	-	phosphoribosylformimino-5-aminoimidazol	2E-99	56%	Nonessential	1	b2024	hisA	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	2E-43	37%	Nonessential
RPA0313	39933390	341237	342004	768	+	hisF	imidazole glycerol phosphate synthase subunit HisF	[E] Amino acid transport and metabolism	Metabolism	Histidine biosynthesis	1	CCNA_03853	-	"imidazole glycerol phosphate synthase, cyclas"	8E-123	66%	Nonessential	2	b2025	hisF	"imidazole glycerol phosphate synthase, catalytic"	6E-60	38%	Nonessential
RPA0314	39933391	342058	342381	324	+	hisE	phosphoribosyl-ATP pyrophosphatase	[E] Amino acid transport and metabolism	Metabolism	Histidine biosynthesis	1	CCNA_03854	-	phosphoribosyl-ATP pyrophosphatase	5E-26	46%	Nonessential	1	b2026	hisI	fused phosphoribosyl-AMP	3E-18	32%	Nonessential
RPA0315	39933392	342456	343412	957	+	coaA	pantothenate kinase	[H] Coenzyme transport and metabolism	Metabolism	Coenzyme A biosynthesis	0	no C. crescentus homolog found						1	b3974	coaA	pantothenate kinase	8E-121	53%	Nonessential
RPA0322	39933399	350318	351259	942	-	gshB	glutathione synthetase	"[J] Translation, ribosomal structure and biogenesis, [H] Coenzyme transport and metabolism"	Metabolism	Redox balance	1	CCNA_00140	-	glutathione synthetase	9E-122	55%	High_Fitness_Costs	1	b2947	gshB	glutathione synthetase	5E-79	39%	Nonessential
RPA0327	39933404	354870	356027	1158	-	hemN2	coproporphyrinogen III oxidase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_00144	-	oxygen-independent coproporphyrinogen-II	4E-102	48%	Nonessential	2	b2955	yggW	"predicted oxidoreductase, HemN family"	5E-70	30%	Nonessential
RPA0331	39933408	358745	359371	627	+	-	heat shock protein GrpE	"[O] Posttranslational modification, protein turnover, chaperones"	Translation	Protein folding	1	CCNA_00153	grpE	adenine nucleotide exchange factor GrpE	2E-44	35%	essential	1	b2614	grpE	heat shock protein	4E-32	31%	essential
RPA0333	39933410	360754	362649	1896	+	dnaK	molecular chaperone DnaK	"[O] Posttranslational modification, protein turnover, chaperones"	Translation	Protein folding	1	CCNA_00010	dnaK	chaperone protein DnaK	0E+00	76%	essential	3	b0014	dnaK	"chaperone Hsp70, co-chaperone with DnaJ"	0E+00	68%	Nonessential
