Supplementary Table S6. Photoheterotrophic growth-esssential genes in R. palustris						
Locus	Gene Length (bp)	Gene	Product	COGs	Functional Group	Avg. fold change in protein abundance phototrophic/aerobic (log2)1
RPA2695	441	acpS	4'-phosphopantetheinyl transferase	[I] Lipid transport and metabolism	biosynthesis	-0.55
RPA2741	978	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	[I] Lipid transport and metabolism	biosynthesis	-0.33
RPA2922	996	rpsB	30S ribosomal protein S2	"[J] Translation, ribosomal structure and biogenesis"	translation	-0.22
RPA2967	1410	glnA	glutamine synthetase type I	[E] Amino acid transport and metabolism	biosynthesis	0.13
RPA2970	1278	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA2971	639	bioD	dithiobiotin synthetase	[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA3052	654	purN	phosphoribosylglycinamide formyltransferase 	[F] Nucleotide transport and metabolism	biosynthesis	-0.49
RPA3065	1014	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	[H] Coenzyme transport and metabolism	biosynthesis	0.13
RPA3072	1266	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	"[I] Lipid transport and metabolism/[Q] Secondary metabolites biosynthesis, transport and catabolism"	biosynthesis	ND
RPA3080	588	rplI	50S ribosomal protein L9	"[J] Translation, ribosomal structure and biogenesis"	translation	-0.51
RPA3091	1530	purF	amidophosphoribosyltransferase	[F] Nucleotide transport and metabolism	biosynthesis	-1.46
RPA3092	744	-	putative oxidoreductase	"[I] Lipid transport and metabolism
[R] General function prediction only
[Q] Secondary metabolites biosynthesis, transport and catabolism"	biosynthesis	0.42
RPA3129	168	rpmG	50S ribosomal protein L33	"[J] Translation, ribosomal structure and biogenesis"	translation	-0.46
RPA3155	852	panC	pantothenate synthetase	[H] Coenzyme transport and metabolism	biosynthesis	0.65
RPA3157	1035	-	-	Not in COGs	hypothetical protein	ND
RPA3322	1437	manC	mannose-1-phosphate guanylyltransferase	[M] Cell wall/membrane/envelope biogenesis	biosynthesis	0.40
RPA3392	453	-	NifU homolog involved in Fe-S cluster formation	"[O] Posttranslational modification, protein turnover, chaperones"	posttranslational modification	-0.81
RPA3479	690	-	putative hydroxylase	[R] General function prediction only	biosynthesis	0.09
RPA3499	537	-	Uncharacterized protein	[S] Function unknown	hypothetical protein	0.70
RPA3524	990	ftsQ	cell division protein FtsQ	"[D] Cell cycle control, cell division, chromosome partitioning"	"cell cycle, cell division & cell envelope"	0.37
RPA3577	2001	thiC	thiamine biosynthesis protein ThiC	[H] Coenzyme transport and metabolism	biosynthesis	-1.59
RPA3583	339	-	"Uncharacterized conserved protein, DUF1778 family"	[S] Function unknown	hypothetical protein	ND
RPA3695	843	-	prephenate dehydratase	[E] Amino acid transport and metabolism	biosynthesis	-0.01
RPA3701	888	metF	"5,10-methylenetetrahydrofolate reductase"	[E] Amino acid transport and metabolism	biosynthesis	1.43
RPA3702	3882	metH	B12-dependent methionine synthase	[E] Amino acid transport and metabolism	biosynthesis	-1.06
RPA3732	1392	argD1	class III aminotransferase	[E] Amino acid transport and metabolism	biosynthesis	-2.54
RPA3775	3105	-	putative RND efflux transporter	[V] Defense mechanisms	stress response	ND
RPA3776	1194	-	possible RND efflux membrane fusion protein precursor	"[V] Defense mechanisms
[M] Cell wall/membrane/envelope biogenesis"	stress response	0.95
RPA3827	324	-	-	Not in COGs	hypothetical protein	ND
RPA3952	984	-	oxidoreductase Rmd	[M] Cell wall/membrane/envelope biogenesis	biosynthesis	ND
RPA4015	1410	ahcY	S-adenosyl-L-homocysteine hydrolase	[H] Coenzyme transport and metabolism	biosynthesis	0.05
RPA4072	477	greA	transcription elongation factor GreA	[K] Transcription	transcription	ND
RPA4180	1404	pntB	NAD(P) transhydrogenase subunit beta	[C] Energy production and conversion	electron transfer	1.55
RPA4181	324	pntA	nicotinamide nucleotide transhydrogenase subunit alpha2	[C] Energy production and conversion	electron transfer	ND
RPA4182	1128	pntA	"nicotinamide nucleotide transhydrogenase, subunit alpha1"	[C] Energy production and conversion	electron transfer	1.16
RPA4193	1434	pyk	pyruvate kinase	[G] Carbohydrate transport and metabolism	biosynthesis	-0.29
RPA4216	2175	glcB	malate synthase G	[C] Energy production and conversion	biosynthesis	-0.23
RPA4248	612	fixJ	response regulator FixJ	"[T] Signal transduction mechanisms
[K] Transcription"	transcription	-0.69
RPA4250	693	fixK	transcriptional regulator FixK	[T] Signal transduction mechanisms	transcription	ND
RPA4253	1443	nuoM2	proton-translocating NADH-quinone oxidoreductase subunit M	[C] Energy production and conversion	electron transfer	ND
RPA4254	2070	nuoL2	proton-translocating NADH-quinone oxidoreductase subunit L	[C] Energy production and conversion/[P] Inorganic ion transport and metabolism	electron transfer	ND
RPA4257	522	nuoI2	NADH dehydrogenase subunit I	[C] Energy production and conversion	electron transfer	ND
RPA4258	960	nuoH2	respiratory-chain NADH dehydrogenase subunit 1	[C] Energy production and conversion	electron transfer	ND
RPA4260	1287	nuoF2	NADH dehydrogenase (quinone)	[C] Energy production and conversion	electron transfer	5.58
RPA4262	1746	nuoCD	bifunctional NADH:ubiquinone oxidoreductase subunit C/D	[C] Energy production and conversion	electron transfer	ND
RPA4308	1590	serA2	D-3-phosphoglycerate dehydrogenase	"[R] General function prediction only
[H] Coenzyme transport and metabolism"	biosynthesis	0.02
RPA4356	693	ctc	50S ribosomal protein L25	"[J] Translation, ribosomal structure and biogenesis"	translation	-0.01
RPA4394	1635	aceA	isocitrate lyase	[C] Energy production and conversion	biosynthesis	ND
RPA4395	1443	-	XRE family transcriptional regulator	[K] Transcription	transcription	0.66
RPA4410	1536	glpD	glycerol-3-phosphate dehydrogenase	[C] Energy production and conversion	biosynthesis	ND
RPA4436	696	-	Methionine biosynthesis protein MetW	Not in COGs	hypothetical protein	ND
RPA4530	492	-	" Uncharacterized protein, UPF0262 family"	[S] Function unknown	hypothetical protein	ND
RPA4582	984	galE2	UDP-galactose 4-epimerase	[M] Cell wall/membrane/envelope biogenesis	biosynthesis	-0.25
RPA4642	1086	cbbA	"fructose-1,6-bisphosphate aldolase"	[G] Carbohydrate transport and metabolism	photosynthesis	2.28
RPA4643	1968	cbbT1	transketolase	[G] Carbohydrate transport and metabolism	photosynthesis	2.74
RPA4644	876	cbbP	phosphoribulokinase	[G] Carbohydrate transport and metabolism	photosynthesis	3.01
RPA4645	1032	cbbF	"fructose-1,6-bisphosphatase"	[G] Carbohydrate transport and metabolism	photosynthesis	3.32
RPA4661	798	otsB	trehalose-6-phosphate phophatase	[G] Carbohydrate transport and metabolism	biosynthesis	1.68
RPA4748	882	hbdA	3-hydroxybutyryl-CoA dehydrogenase	[I] Lipid transport and metabolism	biosynthesis	-0.01
RPA4749	945	etfA	electron transfer flavoprotein subunit alpha	[C] Energy production and conversion	electron transfer	-0.20
RPA4750	750	etfB	electron transfer flavoprotein subunit beta	[C] Energy production and conversion	electron transfer	ND
RPA4766	1212	metZ	O-succinylhomoserine sulfhydrylase	[E] Amino acid transport and metabolism	biosynthesis	-0.79
RPA4774	642	-	GcrA cell cycle regulator	[S] Function unknown	"cell cycle, cell division & cell envelope"	ND
RPA4779	1002	pstC	phosphate ABC transporter permease/ PhoT family	[P] Inorganic ion transport and metabolism	transport	ND
1Log2 fold change great than zero shown in red and less than zero shown in blue						
"2ND, fold change not determined because protein was not detected or protein abundance values from MaxQuant were not significantly different between conditions"						
