Supplementary Table S5. Functional categories of R. palustris longevity genes.						
Locus Tag	Gene Length (bp)	Strand	Gene	Product	COGs	Category
RPA0834	180	+	CoxF	CoxF protein	not in COGs	Hypothetical
RPA0946	378	+	-	hypothetical protein	not in COGs	Hypothetical
RPA1092	372	+	-	carboxymuconolactone decarboxylase	[S] Function unknown	Hypothetical
RPA1183	2826	-	-	double-transmembrane region-like protein	not in COGs	Hypothetical
RPA1190	633	-	-	hypothetical protein	"[O] Posttranslational modification, protein turnover, chaperones"	Hypothetical
RPA1333	657	+	-	hypothetical protein	not in COGs	Hypothetical
RPA1353	741	+	-	hypothetical protein	[M] Cell wall/membrane/envelope biogenesis	Hypothetical
RPA1388	1011	+	-	hypothetical protein	[M] Cell wall/membrane/envelope biogenesis	Hypothetical
RPA1432	531	-	-	nitroimidazole resistance protein	[R] General function prediction only	Hypothetical
RPA1616	807	-	-	hypothetical protein	not in COGs	Hypothetical
RPA1679	315	+	-	hypothetical protein	not in COGs	Hypothetical
RPA1760	375	+	-	hypothetical protein	not in COGs	Hypothetical
RPA1897	321	+	GTA	hypothetical protein	[R] General function prediction only	Hypothetical
RPA2079	120	+	-	hypothetical protein	not in COGs	Hypothetical
RPA2092	1137	-	-	citrate utilization protein B (tcuB?)	not in COGs	Hypothetical
RPA2228	348	-	trbK	hypothetical protein	not in COGs	Hypothetical
RPA2273	297	+	-	hypothetical protein	not in COGs	Hypothetical
RPA2335	342	-	-	hypothetical protein	not in COGs	Hypothetical
RPA2338	501	-	-	hypothetical protein	not in COGs	Hypothetical
RPA2468	369	+	-	hypothetical protein	[R] General function prediction only	Hypothetical
RPA2537	306	+	-	ETC complex I subunit region	not in COGs	Hypothetical
RPA2565	138	-	-	O-acetylserine (thiol) lyase C-terminal portion	not in COGs	Hypothetical
RPA2691	651	-	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA3158	192	-	-	hypothetical protein	not in COGs	Hypothetical
RPA3213	216	+	-	hypothetical protein	not in COGs	Hypothetical
RPA3411	1164	-	-	hypothetical protein	not in COGs	Hypothetical
RPA3432	246	+	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA4141	252	+	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA4214	315	-	-	hypothetical protein	not in COGs	Hypothetical
RPA4224	285	+	-	hypothetical protein	not in COGs	Hypothetical
RPA4276	300	+	-	hypothetical protein	not in COGs	Hypothetical
RPA4393	216	-	-	hypothetical protein	not in COGs	Hypothetical
RPA4476	513	-	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA4599	273	+	-	hypothetical protein	not in COGs	Hypothetical
RPA4610	321	-	-	HesB/YadR/YfhF	[S] Function unknown	Hypothetical
RPA4692	378	+	-	hypothetical protein	not in COGs	Hypothetical
RPA4739	2562	-	-	hypothetical protein	not in COGs	Hypothetical
RPA4818	339	-	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA4824	375	-	-	hypothetical protein	not in COGs	Hypothetical
RPA3085	1242	+	-	alanine racemase	[M] Cell wall/membrane/envelope biogenesis	Membrane
RPA3532	1410	-	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	[M] Cell wall/membrane/envelope biogenesis	Membrane
RPA0305	585	+	-	Smr protein/MutS2	[S] Function unknown	DNA replication and repair
RPA3113	483	+	-	Holliday junction resolvase-like protein	"[L] Replication, recombination and repair"	DNA replication and repair
RPA1314	432	+	-	chemotaxis protein CheY	[T] Signal transduction mechanisms	Signal transduction
RPA4247	1527	+	fixL	two component low oxygen sensor histidine kinase	[T] Signal transduction mechanisms	Signal transduction
RPA4367	1389	-	-	sensor signal transduction histidine kinase	[T] Signal transduction mechanisms	Signal transduction
RPA0463	630	+	-	TetR family transcriptional regulator	not in COGs	Transcription
RPA0766	708	+	-	Crp/Fnr family transcriptional regulator	[T] Signal transduction mechanisms	Transcription
RPA0917	510	+	-	AraC family transcriptional regulator	[S] Function unknown	Transcription
RPA1173	261	-	cspA1	cold-shock DNA-binding domain-containing protein	[K] Transcription	Transcription
RPA2294	696	+	-	TetR family transcriptional regulator	[K] Transcription	Transcription
RPA2693	2283	+	relA	GTP pyrophosphokinase	"[T] Signal transduction mechanisms, [K] Transcription"	Transcription
RPA4097	627	+	-	TetR family transcriptional regulator	[K] Transcription	Transcription
RPA4187	1488	+	-	Fis family transcriptional regulator	[T] Signal transduction mechanisms	Transcription
RPA0294	1941	-	gidA	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA	"[D] Cell cycle control, cell division, chromosome partitioning"	Translation
RPA0442	798	-	trmB	tRNA (guanine-N(7)-)-methyltransferase	[R] General function prediction only	Translation
RPA0446	573	-	ybeY	16s rRNA maturation factor	[R] General function prediction only	Translation
RPA1922	510	+	cycL	cytochrome C biogenesis protein	"[O] Posttranslational modification, protein turnover, chaperones"	Translation
RPA2183	621	+	-	DSBA oxidoreductase	"[Q] Secondary metabolites biosynthesis, transport and catabolism"	Translation
RPA2580	666	+	-	protein-L-isoaspartate(D-aspartate) O-methyltransferase	"[O] Posttranslational modification, protein turnover, chaperones"	Translation
RPA2698	927	+	era	GTP-binding protein Era	[R] General function prediction only	Translation
RPA3491	1152	-	hflK	HflK protein	"[O] Posttranslational modification, protein turnover, chaperones"	Translation
RPA3653	261	-	-	SirA-like protein	"[O] Posttranslational modification, protein turnover, chaperones"	Translation
RPA4354	1098	-	-	GTP-dependent nucleic acid-binding protein EngD	"[J] Translation, ribosomal structure and biogenesis"	Translation
RPA0026	1398	+	-	major facilitator transporter	[R] General function prediction only	Transporter
RPA0485	1206	-	-	urea/short-chain amide ABC transporter	[E] Amino acid transport and metabolism	Transporter
RPA0722	780	-	fecE	iron(III) dicitrate ABC transporter ATP-binding protein FecE	"[H] Coenzyme transport and metabolism, [P] Inorganic ion transport and metabolism"	Transporter
RPA0755	978	-	-	oligopeptide ABC transporter ATP-binding protein	"[P] Inorganic ion transport and metabolism, [E] Amino acid transport and metabolism"	Transporter
RPA0760	954	-	-	oligopeptide ABC transporter permease	"[P] Inorganic ion transport and metabolism, [E] Amino acid transport and metabolism"	Transporter
RPA1216	942	-	-	ABC transporter permease	"[E] Amino acid transport and metabolism, [P] Inorganic ion transport and metabolism"	Transporter
RPA1396	1056	+	-	sugar ABC transporter permease	[G] Carbohydrate transport and metabolism	Transporter
RPA2848	510	-	tatB	twin-arginine translocation protein TatB	"[U] Intracellular trafficking, secretion, and vesicular transport"	Transporter
RPA3480	2202	-	fiu	outer membrane receptor for iron transport	[P] Inorganic ion transport and metabolism	Transporter
RPA3724	1233	+	ilvK	high-affinity leucine-isoleucine-valine transport system periplasmic binding protein	[E] Amino acid transport and metabolism	Transporter
RPA3809	741	+	livF	branched chain amino acid ABC transporter ATP-binding protein	[E] Amino acid transport and metabolism	Transporter
RPA4715	1122	-	modC	molybdate ABC transporter ATP-binding protein	[P] Inorganic ion transport and metabolism	Transporter
RPA4800	1212	-	-	transporter	[G] Carbohydrate transport and metabolism	Transporter
RPA4807	1221	+	-	branched chain amino-acid ABC transporter substrate-binding protein	[E] Amino acid transport and metabolism	Transporter
RPA4809	654	+	-	ABC transporter ATP-binding protein	[V] Defense mechanisms	Transporter
